WS_client_id,WS_Account_code,TRANDATE,SETDATE,Tran_Type,Tran_Desc,Security_Type,Security_Type_Description,DETAILTYPENAME,ISIN,Security_code,Security_Name,EXCHG,BROKERCODE,Depository_Registrar,DPID_AMC,Dp_Client_id_Folio,BANKCODE,BANKACID,QTY,RATE,BROKERAGE,SERVICETAX,NETRATE,Net_Amount,STT,TRFDATE,TRFRATE,TRFAMT,TOTAL_TRXN_FEE,TOTAL_TRXN_FEE_STAX,Txn_Ref_No,DESCMEMO,CHEQUENO,CHEQUEDTL,PORTFOLIOID,DELIVERYDATE,PAYMENTDATE,ACCRUEDINTEREST,ISSUER,ISSUERNAME,TDSAMOUNT,STAMPDUTY,TPMSGAIN,RMID,RMNAME,ADVISORID,ADVISORNAME,BRANCHID,BRANCHNAME,GROUPID,GROUPNAME,OWNERID,OWNERNAME,WEALTHADVISOR_NAME,SCHEMEID,SCHEMENAME,executionPriority
CL0010,ACC0010,08-01-2024,08-02-2024,CSI,CSI transaction,Equity,Equity Share,Listed Equity,IN0553982507,GRASIM90,GRASIM,BSE,UPSTOX,NSDL,DP001,CL0018,HDFC,AC731635,57,2101.57,119.79,21.56,2101.57,119789.49,29.95,08-02-2024,2101.57,119789.49,179.68,21.56,TXN40721900,Generated transaction,303912,08-01-2024,PF6,08-02-2024,08-02-2024,0,GRASIM,GRASIM LTD,0,11.98,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,2,Dividend,1
CL0002,ACC0002,02-09-2024,02-10-2024,PRF,PRF transaction,Equity,Equity Share,Listed Equity,IN3513867363,MARUTI52,MARUTI,NSE,ZERODHA,NSDL,DP001,CL0005,ICICI,AC758784,122,3385.04,412.97,74.34,3385.04,412974.88,103.24,02-10-2024,3385.04,412974.88,619.46,74.34,TXN72462111,Generated transaction,327997,02-09-2024,PF3,02-10-2024,02-10-2024,0,MARUTI,MARUTI LTD,0,41.3,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,3,Growth,4
CL0014,ACC0014,11/13/2024,11/16/2024,DI1,DI1 transaction,Equity,Equity Share,Listed Equity,IN1598735116,TATAST87,TATASTEEL,NSE,ICICI_DIRECT,NSDL,DP001,CL0004,HDFC,AC240946,242,2484.96,601.36,108.24,2484.96,601360.32,150.34,11/16/2024,2484.96,601360.32,902.04,108.24,TXN31000839,Generated transaction,887309,11/13/2024,PF3,11/16/2024,11/16/2024,0,TATASTEEL,TATASTEEL LTD,0,60.14,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,3,Dividend,4
CL0017,ACC0017,08-12-2024,8/13/2024,DIS,DIS transaction,Equity,Equity Share,Listed Equity,IN3860394827,DABUR52,DABUR,BSE,UPSTOX,NSDL,DP001,CL0004,HDFC,AC806179,153,109.07,16.69,3,109.07,16687.71,4.17,8/13/2024,109.07,16687.71,25.03,3,TXN50174245,Generated transaction,144524,08-12-2024,PF8,8/13/2024,8/13/2024,0,DABUR,DABUR LTD,0,1.67,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,1,Balanced,2
CL0016,ACC0016,06-02-2024,06-03-2024,E23,E23 transaction,Equity,Equity Share,Listed Equity,IN3854848876,RELIAN92,RELIANCE,BSE,ICICI_DIRECT,NSDL,DP001,CL0010,ICICI,AC618868,481,2831.82,1362.11,245.18,2831.82,1362105.42,340.53,06-03-2024,2831.82,1362105.42,2043.16,245.18,TXN17727307,Generated transaction,987779,06-02-2024,PF10,06-03-2024,06-03-2024,0,RELIANCE,RELIANCE LTD,0,136.21,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,1,Growth,4
CL0009,ACC0009,4/25/2024,4/26/2024,SQB,SQB transaction,Equity,Equity Share,Listed Equity,IN2216702388,TITAN45,TITAN,BSE,ICICI_DIRECT,NSDL,DP001,CL0001,AXIS,AC640062,308,698.69,215.2,38.74,698.69,215196.52,53.8,4/26/2024,698.69,215196.52,322.79,38.74,TXN05584083,Generated transaction,903755,4/25/2024,PF2,4/26/2024,4/26/2024,0,TITAN,TITAN LTD,0,21.52,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,2,Balanced,3
CL0014,ACC0014,08-01-2024,08-04-2024,IN1,IN1 transaction,Equity,Equity Share,Listed Equity,IN4135049358,ADANIE26,ADANIENT,BSE,UPSTOX,NSDL,DP001,CL0010,SBI,AC252903,107,236.5,25.31,4.55,236.5,25305.5,6.33,08-04-2024,236.5,25305.5,37.96,4.55,TXN24365811,Generated transaction,544854,08-01-2024,PF1,08-04-2024,08-04-2024,0,ADANIENT,ADANIENT LTD,0,2.53,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,2,Dividend,5
CL0005,ACC0005,2/21/2024,2/22/2024,E10,E10 transaction,Equity,Equity Share,Listed Equity,IN0251210775,ADANIP11,ADANIPORTS,NSE,ZERODHA,NSDL,DP001,CL0014,ICICI,AC405612,496,1397.43,693.13,124.76,1397.43,693125.28,173.28,2/22/2024,1397.43,693125.28,1039.69,124.76,TXN75481891,Generated transaction,161686,2/21/2024,PF2,2/22/2024,2/22/2024,0,ADANIPORTS,ADANIPORTS LTD,0,69.31,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,2,Balanced,4
CL0008,ACC0008,6/29/2024,07-02-2024,E10,E10 transaction,Equity,Equity Share,Listed Equity,IN3816830313,ASIANP72,ASIANPAINT,NSE,HDFC_SEC,NSDL,DP001,CL0003,ICICI,AC937289,266,2940.71,782.23,140.8,2940.71,782228.86,195.56,07-02-2024,2940.71,782228.86,1173.34,140.8,TXN44440524,Generated transaction,301085,6/29/2024,PF5,07-02-2024,07-02-2024,0,ASIANPAINT,ASIANPAINT LTD,0,78.22,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,2,Balanced,5
CL0011,ACC0011,11/22/2024,11/25/2024,D10,D10 transaction,Equity,Equity Share,Listed Equity,IN1590430428,VEDL41,VEDL,NSE,ZERODHA,NSDL,DP001,CL0007,ICICI,AC125406,357,3374.71,1204.77,216.86,3374.71,1204771.47,301.19,11/25/2024,3374.71,1204771.47,1807.16,216.86,TXN42259909,Generated transaction,581101,11/22/2024,PF1,11/25/2024,11/25/2024,0,VEDL,VEDL LTD,0,120.48,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,1,Growth,1
CL0014,ACC0014,12-08-2024,12-10-2024,OI1,OI1 transaction,Equity,Equity Share,Listed Equity,IN1590430428,VEDL41,VEDL,BSE,UPSTOX,NSDL,DP001,CL0011,AXIS,AC860351,32,428.53,13.71,2.47,428.53,13712.96,3.43,12-10-2024,428.53,13712.96,20.57,2.47,TXN35012836,Generated transaction,238840,12-08-2024,PF6,12-10-2024,12-10-2024,0,VEDL,VEDL LTD,0,1.37,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,3,Balanced,3
CL0005,ACC0005,12/17/2024,12/20/2024,NF-,NF- transaction,Equity,Equity Share,Listed Equity,IN6320529325,BAJFIN90,BAJFINANCE,NSE,ZERODHA,NSDL,DP001,CL0009,AXIS,AC993415,130,2901.21,377.16,67.89,2901.21,377157.3,94.29,12/20/2024,2901.21,377157.3,565.74,67.89,TXN46567848,Generated transaction,674511,12/17/2024,PF3,12/20/2024,12/20/2024,0,BAJFINANCE,BAJFINANCE LTD,0,37.72,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,2,Dividend,3
CL0004,ACC0004,4/16/2024,4/17/2024,CS-,CS- transaction,Equity,Equity Share,Listed Equity,IN5586676065,DIVISL84,DIVISLAB,NSE,ZERODHA,NSDL,DP001,CL0002,ICICI,AC395281,77,1215.58,93.6,16.85,1215.58,93599.66,23.4,4/17/2024,1215.58,93599.66,140.4,16.85,TXN56802012,Generated transaction,190489,4/16/2024,PF10,4/17/2024,4/17/2024,0,DIVISLAB,DIVISLAB LTD,0,9.36,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,3,Dividend,2
CL0010,ACC0010,06-11-2024,06-12-2024,E01,E01 transaction,Equity,Equity Share,Listed Equity,IN1457744114,ONGC38,ONGC,NSE,UPSTOX,NSDL,DP001,CL0017,SBI,AC394615,323,1224.78,395.6,71.21,1224.78,395603.94,98.9,06-12-2024,1224.78,395603.94,593.41,71.21,TXN21857580,Generated transaction,115834,06-11-2024,PF8,06-12-2024,06-12-2024,0,ONGC,ONGC LTD,0,39.56,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,2,Growth,5
CL0005,ACC0005,03-10-2024,03-11-2024,SQS,SQS transaction,Equity,Equity Share,Listed Equity,IN4023679652,ULTRAC90,ULTRACEMCO,NSE,ICICI_DIRECT,NSDL,DP001,CL0013,SBI,AC468240,93,176.63,16.43,2.96,176.63,16426.59,4.11,03-11-2024,176.63,16426.59,24.64,2.96,TXN19991320,Generated transaction,369364,03-10-2024,PF8,03-11-2024,03-11-2024,0,ULTRACEMCO,ULTRACEMCO LTD,0,1.64,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,3,Growth,4
CL0014,ACC0014,07-11-2024,07-12-2024,SQB,SQB transaction,Equity,Equity Share,Listed Equity,IN2187594516,BRITAN79,BRITANNIA,NSE,ICICI_DIRECT,NSDL,DP001,CL0007,ICICI,AC127980,71,303.33,21.54,3.88,303.33,21536.43,5.38,07-12-2024,303.33,21536.43,32.3,3.88,TXN37379221,Generated transaction,529482,07-11-2024,PF3,07-12-2024,07-12-2024,0,BRITANNIA,BRITANNIA LTD,0,2.15,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,1,Balanced,1
CL0009,ACC0009,8/18/2024,8/19/2024,CSI,CSI transaction,Equity,Equity Share,Listed Equity,IN6320529325,BAJFIN90,BAJFINANCE,BSE,ICICI_DIRECT,NSDL,DP001,CL0015,ICICI,AC512729,324,2100.21,680.47,122.48,2100.21,680468.04,170.12,8/19/2024,2100.21,680468.04,1020.7,122.48,TXN18142501,Generated transaction,849630,8/18/2024,PF8,8/19/2024,8/19/2024,0,BAJFINANCE,BAJFINANCE LTD,0,68.05,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,1,Balanced,1
CL0013,ACC0013,08-12-2024,8/15/2024,TDO,TDO transaction,Equity,Equity Share,Listed Equity,IN7744658170,TCS44,TCS,NSE,ICICI_DIRECT,NSDL,DP001,CL0018,HDFC,AC847991,245,2199.52,538.88,97,2199.52,538882.4,134.72,8/15/2024,2199.52,538882.4,808.32,97,TXN28202956,Generated transaction,121180,08-12-2024,PF8,8/15/2024,8/15/2024,0,TCS,TCS LTD,0,53.89,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,1,Dividend,5
CL0009,ACC0009,10/15/2024,10/16/2024,CUS,CUS transaction,Equity,Equity Share,Listed Equity,IN0137278838,NESTLE12,NESTLEIND,NSE,HDFC_SEC,NSDL,DP001,CL0003,AXIS,AC328588,464,1842.77,855.05,153.91,1842.77,855045.28,213.76,10/16/2024,1842.77,855045.28,1282.57,153.91,TXN87742955,Generated transaction,827235,10/15/2024,PF6,10/16/2024,10/16/2024,0,NESTLEIND,NESTLEIND LTD,0,85.5,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,3,Growth,4
CL0005,ACC0005,11/22/2024,11/24/2024,MGE,MGE transaction,Equity,Equity Share,Listed Equity,IN6541157833,BHARTI35,BHARTIARTL,NSE,ZERODHA,NSDL,DP001,CL0003,ICICI,AC938982,335,2985.15,1000.03,180,2985.15,1000025.25,250.01,11/24/2024,2985.15,1000025.25,1500.04,180,TXN76704943,Generated transaction,867608,11/22/2024,PF8,11/24/2024,11/24/2024,0,BHARTIARTL,BHARTIARTL LTD,0,100,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,1,Dividend,4
CL0007,ACC0007,6/20/2024,6/22/2024,DIS,DIS transaction,Equity,Equity Share,Listed Equity,IN5586676065,DIVISL84,DIVISLAB,BSE,ICICI_DIRECT,NSDL,DP001,CL0014,SBI,AC270955,262,2075.41,543.76,97.88,2075.41,543757.42,135.94,6/22/2024,2075.41,543757.42,815.64,97.88,TXN32102518,Generated transaction,754361,6/20/2024,PF2,6/22/2024,6/22/2024,0,DIVISLAB,DIVISLAB LTD,0,54.38,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,2,Growth,2
CL0005,ACC0005,10-11-2024,10-12-2024,DI1,DI1 transaction,Equity,Equity Share,Listed Equity,IN0316772907,SHREEC14,SHREECEM,NSE,ZERODHA,NSDL,DP001,CL0002,HDFC,AC686570,53,1552.73,82.29,14.81,1552.73,82294.69,20.57,10-12-2024,1552.73,82294.69,123.44,14.81,TXN52360965,Generated transaction,130194,10-11-2024,PF9,10-12-2024,10-12-2024,0,SHREECEM,SHREECEM LTD,0,8.23,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,1,Dividend,4
CL0007,ACC0007,02-12-2024,2/15/2024,D10,D10 transaction,Equity,Equity Share,Listed Equity,IN7744658170,TCS44,TCS,BSE,UPSTOX,NSDL,DP001,CL0010,AXIS,AC218034,25,1374.44,34.36,6.18,1374.44,34361,8.59,2/15/2024,1374.44,34361,51.54,6.18,TXN75001707,Generated transaction,151571,02-12-2024,PF5,2/15/2024,2/15/2024,0,TCS,TCS LTD,0,3.44,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,3,Dividend,4
CL0002,ACC0002,10/20/2024,10/23/2024,DIS,DIS transaction,Equity,Equity Share,Listed Equity,IN4816963613,SBIN30,SBIN,BSE,ZERODHA,NSDL,DP001,CL0001,ICICI,AC485788,227,1102.09,250.17,45.03,1102.09,250174.43,62.54,10/23/2024,1102.09,250174.43,375.26,45.03,TXN83724239,Generated transaction,358262,10/20/2024,PF2,10/23/2024,10/23/2024,0,SBIN,SBIN LTD,0,25.02,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,2,Balanced,4
CL0011,ACC0011,4/19/2024,4/22/2024,E22,E22 transaction,Equity,Equity Share,Listed Equity,IN5974187380,HEROMO41,HEROMOTOCO,BSE,ICICI_DIRECT,NSDL,DP001,CL0014,AXIS,AC123352,228,1394.37,317.92,57.22,1394.37,317916.36,79.48,4/22/2024,1394.37,317916.36,476.87,57.22,TXN41097556,Generated transaction,324027,4/19/2024,PF1,4/22/2024,4/22/2024,0,HEROMOTOCO,HEROMOTOCO LTD,0,31.79,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,2,Balanced,1
CL0017,ACC0017,12/26/2024,12/27/2024,IN+,IN+ transaction,Equity,Equity Share,Listed Equity,IN6630942298,POWERG67,POWERGRID,BSE,HDFC_SEC,NSDL,DP001,CL0018,HDFC,AC957170,189,3476.08,656.98,118.26,3476.08,656979.12,164.24,12/27/2024,3476.08,656979.12,985.47,118.26,TXN73781678,Generated transaction,928802,12/26/2024,PF4,12/27/2024,12/27/2024,0,POWERGRID,POWERGRID LTD,0,65.7,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,3,Growth,1
CL0009,ACC0009,3/16/2024,3/19/2024,SQB,SQB transaction,Equity,Equity Share,Listed Equity,IN6630942298,POWERG67,POWERGRID,NSE,ICICI_DIRECT,NSDL,DP001,CL0015,ICICI,AC282565,196,324.98,63.7,11.47,324.98,63696.08,15.92,3/19/2024,324.98,63696.08,95.54,11.47,TXN09102015,Generated transaction,159254,3/16/2024,PF5,3/19/2024,3/19/2024,0,POWERGRID,POWERGRID LTD,0,6.37,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,2,Growth,5
CL0010,ACC0010,02-09-2024,02-11-2024,TDO,TDO transaction,Equity,Equity Share,Listed Equity,IN6446405874,HDFCBA42,HDFCBANK,NSE,HDFC_SEC,NSDL,DP001,CL0011,AXIS,AC771678,304,2235.64,679.63,122.33,2235.64,679634.56,169.91,02-11-2024,2235.64,679634.56,1019.45,122.33,TXN51148258,Generated transaction,547785,02-09-2024,PF3,02-11-2024,02-11-2024,0,HDFCBANK,HDFCBANK LTD,0,67.96,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,1,Balanced,2
CL0012,ACC0012,11-05-2024,11-06-2024,TDI,TDI transaction,Equity,Equity Share,Listed Equity,IN5586676065,DIVISL84,DIVISLAB,NSE,ICICI_DIRECT,NSDL,DP001,CL0011,ICICI,AC185089,221,1420.83,314,56.52,1420.83,314003.43,78.5,11-06-2024,1420.83,314003.43,471.01,56.52,TXN72143067,Generated transaction,871449,11-05-2024,PF8,11-06-2024,11-06-2024,0,DIVISLAB,DIVISLAB LTD,0,31.4,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,3,Growth,1
CL0013,ACC0013,09-12-2024,9/13/2024,Sl+,Sl+ transaction,Equity,Equity Share,Listed Equity,IN2187594516,BRITAN79,BRITANNIA,NSE,HDFC_SEC,NSDL,DP001,CL0018,ICICI,AC314004,372,1061.92,395.03,71.11,1061.92,395034.24,98.76,9/13/2024,1061.92,395034.24,592.55,71.11,TXN35662216,Generated transaction,515873,09-12-2024,PF6,9/13/2024,9/13/2024,0,BRITANNIA,BRITANNIA LTD,0,39.5,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,2,Balanced,5
CL0006,ACC0006,2/21/2024,2/23/2024,PRF,PRF transaction,Equity,Equity Share,Listed Equity,IN9519864523,COALIN15,COALINDIA,NSE,ICICI_DIRECT,NSDL,DP001,CL0001,SBI,AC773446,35,2761.06,96.64,17.39,2761.06,96637.1,24.16,2/23/2024,2761.06,96637.1,144.96,17.39,TXN26902642,Generated transaction,606821,2/21/2024,PF4,2/23/2024,2/23/2024,0,COALINDIA,COALINDIA LTD,0,9.66,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,3,Balanced,4
CL0006,ACC0006,7/29/2024,7/31/2024,DIO,DIO transaction,Equity,Equity Share,Listed Equity,IN1598735116,TATAST87,TATASTEEL,NSE,ICICI_DIRECT,NSDL,DP001,CL0015,ICICI,AC430175,500,1558.03,779.01,140.22,1558.03,779015,194.75,7/31/2024,1558.03,779015,1168.52,140.22,TXN03206949,Generated transaction,581900,7/29/2024,PF2,7/31/2024,7/31/2024,0,TATASTEEL,TATASTEEL LTD,0,77.9,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,1,Dividend,2
